Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
300.0,936.24,25437.0,3.9314e-05,7.6836,11.364,39.667,41.471,71.533,1034.8,-0.02338,177.85,0.16511,liquid
300.0,943.59,25463.0,3.9272e-05,7.6709,11.377,39.611,41.486,71.482,1037.6,-0.023511,178.55,0.16555,liquid
300.0,950.93,25490.0,3.9231e-05,7.6583,11.389,39.556,41.501,71.431,1040.5,-0.023641,179.24,0.16598,liquid
300.0,958.28,25516.0,3.919e-05,7.6458,11.401,39.502,41.516,71.381,1043.3,-0.023768,179.94,0.16642,liquid
300.0,965.63,25543.0,3.915e-05,7.6334,11.414,39.448,41.531,71.332,1046.1,-0.023893,180.63,0.16685,liquid
300.0,972.98,25569.0,3.911e-05,7.6211,11.426,39.394,41.546,71.284,1048.9,-0.024017,181.32,0.16728,liquid
300.0,980.33,25595.0,3.907e-05,7.6089,11.439,39.34,41.561,71.236,1051.7,-0.024139,182.01,0.16771,liquid
300.0,987.68,25621.0,3.9031e-05,7.5967,11.452,39.286,41.576,71.189,1054.5,-0.024259,182.71,0.16813,liquid
300.0,995.02,25646.0,3.8992e-05,7.5846,11.464,39.233,41.591,71.143,1057.2,-0.024377,183.4,0.16856,liquid
300.0,1002.4,25672.0,3.8953e-05,7.5726,11.477,39.18,41.607,71.097,1060.0,-0.024494,184.08,0.16898,liquid
300.0,1009.7,25697.0,3.8915e-05,7.5607,11.49,39.128,41.622,71.052,1062.7,-0.024609,184.77,0.16941,liquid
300.0,1017.1,25722.0,3.8877e-05,7.5488,11.503,39.075,41.637,71.008,1065.4,-0.024722,185.46,0.16983,liquid
300.0,1024.4,25747.0,3.8839e-05,7.5371,11.516,39.023,41.652,70.964,1068.1,-0.024834,186.15,0.17025,liquid
300.0,1031.8,25772.0,3.8802e-05,7.5254,11.529,38.971,41.667,70.921,1070.8,-0.024944,186.83,0.17067,liquid
300.0,1039.1,25797.0,3.8765e-05,7.5137,11.542,38.92,41.683,70.879,1073.5,-0.025053,187.52,0.17109,liquid
300.0,1046.5,25821.0,3.8728e-05,7.5022,11.555,38.869,41.698,70.837,1076.1,-0.02516,188.2,0.1715,liquid
300.0,1053.8,25846.0,3.8691e-05,7.4907,11.568,38.817,41.713,70.795,1078.8,-0.025266,188.88,0.17192,liquid
300.0,1061.2,25870.0,3.8655e-05,7.4793,11.581,38.767,41.728,70.755,1081.4,-0.02537,189.56,0.17233,liquid
