Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Z
711.7,870.0,33589.0,2.9772e-05,33.544,36.134,73.907,49.535,99.178,913.96,0.035065,73.018,0.46813,supercritical,0.4377440754583794
711.7,880.0,33721.0,2.9655e-05,33.49,36.1,73.817,49.513,98.619,920.19,0.034166,73.333,0.47015,supercritical,0.4410355672765143
711.7,890.0,33850.0,2.9542e-05,33.437,36.067,73.729,49.493,98.08,926.34,0.033295,73.644,0.47214,supercritical,0.4443476773941876
711.7,900.0,33977.0,2.9432e-05,33.386,36.035,73.642,49.473,97.558,932.42,0.032453,73.95,0.47411,supercritical,0.4476672236198913
711.7,910.0,34102.0,2.9324e-05,33.335,36.003,73.557,49.454,97.054,938.42,0.031637,74.253,0.47605,supercritical,0.45098034775229606
711.7,920.0,34225.0,2.9219e-05,33.285,35.973,73.474,49.436,96.565,944.35,0.030846,74.552,0.47797,supercritical,0.4543036120320149
711.7,930.0,34345.0,2.9116e-05,33.236,35.944,73.391,49.418,96.093,950.22,0.03008,74.848,0.47987,supercritical,0.45762282025280804
711.7,940.0,34464.0,2.9016e-05,33.188,35.915,73.311,49.402,95.634,956.01,0.029336,75.14,0.48175,supercritical,0.460954872660199
711.7,950.0,34580.0,2.8918e-05,33.14,35.888,73.231,49.386,95.19,961.74,0.028614,75.428,0.48361,supercritical,0.46428523504303765
711.7,960.0,34695.0,2.8823e-05,33.094,35.861,73.153,49.37,94.759,967.4,0.027912,75.714,0.48544,supercritical,0.4676311456517578
711.7,970.0,34808.0,2.8729e-05,33.048,35.835,73.076,49.356,94.341,973.01,0.027231,75.996,0.48726,supercritical,0.47096133903214116
711.7,980.0,34919.0,2.8638e-05,33.003,35.809,73.0,49.342,93.934,978.55,0.026568,76.275,0.48906,supercritical,0.47430944667277936
711.7,990.0,35029.0,2.8548e-05,32.959,35.785,72.925,49.328,93.539,984.03,0.025924,76.551,0.49084,supercritical,0.47764352710963315
711.7,1000.0,35137.0,2.846e-05,32.915,35.761,72.851,49.315,93.155,989.46,0.025297,76.825,0.49261,supercritical,0.4809809875955916
